名称,﻿代码,﻿当前价格,﻿昨收,﻿今开,﻿成交量/手,﻿外盘,﻿内盘,﻿买一价,﻿买一量/手,﻿买二价,﻿买二量/手,﻿买三价,﻿买三量/手,﻿买四价,﻿买四量/手,﻿买五价,﻿买五量/手,﻿卖一价,﻿卖一量/手,﻿卖二价,﻿卖二量/手,﻿卖三价,﻿卖三量/手,﻿卖四价,﻿卖四量/手,﻿卖五价,﻿卖五量/手,﻿最近逐笔成交,﻿时间,﻿涨跌,﻿涨跌幅,﻿最高,﻿最低,﻿价格,﻿成交量/手,﻿成交额/万,﻿换手率,﻿市盈率,﻿振幅,﻿流通市值,﻿总市值,﻿市净率,﻿涨停价,﻿跌停价,﻿买盘大单,﻿买盘小单,﻿卖盘大单,﻿卖盘小单
0,sz150018,0.92,0.924,0.914,352248.0,153194.0,199054.0,0.919,4153.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1963.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104416,-0.004,-0.43,0.922,0.909,0.919,352248.0,3224.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.385,0.213,0.352
0,sz150018,0.92,0.924,0.914,352748.0,153694.0,199054.0,0.919,4153.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1463.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104429,-0.004,-0.43,0.922,0.909,0.919,352748.0,3229.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.386,0.213,0.351
0,sz150018,0.92,0.924,0.914,352748.0,153694.0,199054.0,0.919,4153.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1463.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104434,-0.004,-0.43,0.922,0.909,0.919,352748.0,3229.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.386,0.213,0.351
0,sz150018,0.92,0.924,0.914,352748.0,153694.0,199054.0,0.919,4153.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1034.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104440,-0.004,-0.43,0.922,0.909,0.919,352748.0,3229.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.386,0.213,0.351
0,sz150018,0.919,0.924,0.914,353225.0,153694.0,199530.0,0.919,3676.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1034.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104447,-0.005,-0.54,0.922,0.909,0.919,353225.0,3233.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.385,0.213,0.352
0,sz150018,0.919,0.924,0.914,353225.0,153694.0,199530.0,0.919,3676.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1034.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104450,-0.005,-0.54,0.922,0.909,0.919,353225.0,3233.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.383,0.212,0.355
0,sz150018,0.919,0.924,0.914,355065.0,153694.0,201370.0,0.919,1836.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1034.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104456,-0.005,-0.54,0.922,0.909,0.919,355065.0,3250.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.383,0.212,0.355
0,sz150018,0.919,0.924,0.914,355854.0,153694.0,202160.0,0.919,1047.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1034.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104459,-0.005,-0.54,0.922,0.909,0.919,355854.0,3257.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.383,0.212,0.355
0,sz150018,0.919,0.924,0.914,355854.0,153694.0,202160.0,0.919,1047.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1034.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104502,-0.005,-0.54,0.922,0.909,0.919,355854.0,3257.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.382,0.211,0.357
0,sz150018,0.919,0.924,0.914,355854.0,153694.0,202160.0,0.919,7447.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1034.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104507,-0.005,-0.54,0.922,0.909,0.919,355854.0,3257.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.382,0.211,0.357
0,sz150018,0.919,0.924,0.914,355854.0,153694.0,202160.0,0.919,7447.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1034.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104513,-0.005,-0.54,0.922,0.909,0.919,355854.0,3257.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.382,0.211,0.357
0,sz150018,0.919,0.924,0.914,355854.0,153694.0,202160.0,0.919,7447.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1034.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104519,-0.005,-0.54,0.922,0.909,0.919,355854.0,3257.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.382,0.211,0.357
0,sz150018,0.919,0.924,0.914,355854.0,153694.0,202160.0,0.919,7447.0,0.918,9991.0,0.917,3013.0,0.916,1606.0,0.915,905.0,0.92,1034.0,0.921,1923.0,0.922,3718.0,0.923,4877.0,0.924,11189.0,10.0,20150826104522,-0.005,-0.54,0.922,0.909,0.919,355854.0,3257.0,0.0,0.0,1.41,0.0,0.0,0.0,-1.0,-1.0,0.05,0.382,0.211,0.357
